city_name,year,avg_rainfall
Adelaide,2000,1.5275766016713093
Adelaide,2001,1.7088571428571429
Adelaide,2002,0.996
Adelaide,2003,1.4863636363636363
Adelaide,2004,1.409659090909091
Adelaide,2005,1.6056022408963586
Adelaide,2006,0.757422969187675
Adelaide,2007,1.2650137741046832
Adelaide,2008,1.030028328611898
Adelaide,2009,1.3417127071823205
Adelaide,2010,1.5250704225352112
Adelaide,2011,1.4470219435736678
Adelaide,2012,1.5093167701863355
Adelaide,2013,1.5036065573770492
Adelaide,2014,1.4247058823529413
Adelaide,2015,1.056875
Adelaide,2016,2.3621794871794872
Adelaide,2017,1.5794303797468354
Adelaide,2018,1.2355048859934854
Adelaide,2019,1.1590443686006826
Brisbane,2000,1.9666666666666666
Brisbane,2001,2.9766162310866573
Brisbane,2002,1.8958620689655172
Brisbane,2003,2.3370473537604455
Brisbane,2004,3.230379746835443
Brisbane,2005,2.097304964539007
Brisbane,2006,2.1753462603878115
Brisbane,2007,1.9217391304347826
Brisbane,2008,5.003854389721627
Brisbane,2009,4.676801801801802
Brisbane,2010,7.429384965831435
Brisbane,2011,4.7905311778290995
Brisbane,2012,5.0582926829268295
Brisbane,2013,4.85
Brisbane,2014,2.494012944983819
Brisbane,2015,5.192272727272727
Brisbane,2016,2.0925619834710742
Brisbane,2017,2.7191011235955056
Brisbane,2018,2.4689655172413794
Brisbane,2019,1.8033057851239669
Canberra,2008,2.294
Canberra,2009,1.1819178082191781
Canberra,2010,2.629041095890411
Canberra,2011,1.587087912087912
Canberra,2012,1.8950819672131147
Canberra,2013,1.4624657534246575
Canberra,2014,1.5663911845730027
Canberra,2015,1.5113573407202217
Canberra,2016,2.153551912568306
Canberra,2017,1.3388429752066116
Canberra,2018,1.2967032967032968
Canberra,2019,0.9824657534246576
Melbourne,2000,1.6349397590361445
Melbourne,2001,1.8050147492625368
Melbourne,2002,1.205524861878453
Melbourne,2003,1.3473972602739726
Melbourne,2004,1.6473829201101928
Melbourne,2005,1.5087912087912088
Melbourne,2006,1.0264264264264265
Melbourne,2007,1.2233532934131737
Melbourne,2008,1.180327868852459
Melbourne,2009,1.1369863013698631
Melbourne,2010,1.9949579831932773
Melbourne,2011,2.390027700831025
Melbourne,2012,1.6983516483516483
Melbourne,2013,1.8327823691460055
Melbourne,2014,1.3164835164835165
Melbourne,2015,1.2922636103151863
Melbourne,2016,1.9286931818181818
Melbourne,2017,1.7706371191135735
Melbourne,2018,1.487603305785124
Melbourne,2019,1.2196132596685083
Perth,2000,1.9900826446280993
Perth,2001,1.928450704225352
Perth,2002,1.7083102493074793
Perth,2003,2.125068870523416
Perth,2004,1.568421052631579
Perth,2005,2.2229916897506925
Perth,2006,1.22
Perth,2007,1.854945054945055
Perth,2008,2.1204419889502764
Perth,2009,1.524175824175824
Perth,2010,1.4082417582417581
Perth,2011,2.1866666666666665
Perth,2012,1.7879656160458453
Perth,2013,2.071388888888889
Perth,2014,1.7834254143646409
Perth,2015,1.5380555555555555
Perth,2016,2.0519662921348316
Perth,2017,2.049002849002849
Perth,2018,2.1263736263736264
Perth,2019,1.5082191780821919
Sydney,2000,2.244808743169399
Sydney,2001,3.722739726027397
Sydney,2002,2.356164383561644
Sydney,2003,3.288767123287671
Sydney,2004,2.7191256830601094
Sydney,2005,2.2356164383561645
Sydney,2006,2.723287671232877
Sydney,2007,4.107397260273973
Sydney,2008,2.9579234972677595
Sydney,2009,2.6197260273972605
Sydney,2010,3.1878453038674035
Sydney,2011,3.751232876712329
Sydney,2012,3.3158469945355193
Sydney,2013,3.683287671232877
Sydney,2014,2.4853185595567866
Sydney,2015,3.666301369863014
Sydney,2016,3.785792349726776
Sydney,2017,2.9630853994490356
Sydney,2018,2.747802197802198
Sydney,2019,2.333698630136986
